openssh 10.3p1-1
openssl 3.6.2-2
opus 1.6.1-1
orc 0.4.42-1
os-prober 1.84-1
osinfo-db 20251212-1
ostree 2025.7-3
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260406-1
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.1-1
pangomm 2.46.4-2
pangomm-2.48 2.56.1-1
parted 3.7-1
paru 2.1.0-2
paru-debug 2.1.0-2
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.0-1
perl 5.42.2-1
perl-error 0.17030-3
perl-io-tty 1.31-1
perl-ipc-run 20260402.0-1
perl-mailtools 2.22-3
perl-time-duration 1:1.21-2
perl-timedate 2.35-1
pinentry 1.3.2-2
piper 0.8-3
pipewire 1:1.6.6-1
pipewire-alsa 1:1.6.6-1
pipewire-audio 1:1.6.6-1
pipewire-pulse 1:1.6.6-1
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-5
plocate 1.1.24-1
polkit 127-3
poppler 26.05.0-1
poppler-glib 26.05.0-1
popt 1.19-2
portaudio 1:19.7.0-4
power-profiles-daemon 0.30-1
procps-ng 4.0.6-1
protobuf 34.1-1
psmisc 23.7-2
pugixml 1.15-3
pyside6 6.11.1-1
python 3.14.5-1
python-autocommand 2.2.2-9
python-build 1.4.3-1
python-cairo 1.29.0-2
python-dbus 1.4.0-2
python-evdev 1.9.3-1
python-gevent 26.5.0-1
python-gevent-eventemitter 2.1-4
python-gobject 3.56.3-1
python-greenlet 3.5.1-1
python-iniconfig 2.3.0-1
python-inputs 0.5-4
python-installer 1.0.0-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-lxml 6.1.1-1
python-more-itertools 11.1.0-1
python-packaging 26.2-1
python-pkg_resources 81.0.0-1
python-platformdirs 4.9.6-1
python-pluggy 1.6.0-3
python-psutil 7.2.2-1
python-pyaml 26.2.1-1
python-pygments 2.20.0-1
python-pyproject-hooks 1.2.0-6
python-pytest 1:9.0.3-1
python-pywalfox 2.7.4-1
python-pyxdg 0.28-7
python-setuptools 1:82.0.1-1
python-typing_extensions 4.15.0-3
python-urwid 4.0.0-1
python-vcrpy 8.1.1-1
python-wcwidth 0.7.0-1
python-wheel 0.47.0-1
python-wrapt 2.1.2-1
python-yaml 6.0.3-2
python-zope-event 6.2-1
python-zope-interface 8.4-1
qca-qt6 2.3.10-6
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-graphicaleffects 5.15.19-1
qt5-multimedia 5.15.19+kde+r2-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5-svg 5.15.19+kde+r5-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt6-5compat 6.11.1-1
qt6-base 6.11.1-1
qt6-declarative 6.11.1-2
qt6-imageformats 6.11.1-1
qt6-multimedia 6.11.1-1
